,Factor1,Factor2,Factor3,Factor4
swing.strike.perc,-0.12,-0.06,0.55,-0.52
bases.on.balls,0.33,0.69,0.16,0.57
F.Strike.perc,-0.17,-0.09,-0.16,-0.54
out.swing.perc,-0.08,0.05,-0.07,-0.81
Swing.perc,-0.04,0.08,-0.01,-0.82
BB.PA,0.22,0.02,0.26,0.89
bases.on.balls.strikeouts,0.29,0.14,-0.22,0.76
HomeRun.Flyball.ratio,0.51,0.18,0.72,-0.1
Isolated.Power,0.64,0.24,0.68,-0.07
hit.medspeed.perc,-0.27,-0.22,-0.56,0.1
strikouts.plate.perc,-0.2,-0.21,0.64,-0.13
GroundBall.fly.ratio,-0.09,-0.03,-0.52,-0.13
Flyball.perc,0.04,0,0.61,0.17
in.contact.perc,0.08,0.11,-0.62,0.14
out.Contact.perc,0.12,0.12,-0.62,0.18
total.contact.perc,0.12,0.11,-0.66,0.29
bat.hardHit.perc,0.36,0.29,0.56,-0.11
hit.hardspeed.perc,0.39,0.28,0.59,-0.1
bat.exit.velocity,0.39,0.29,0.52,-0.04
bat.barrel.perc,0.41,0.17,0.81,-0.05
wRuns.created,0.55,0.8,0.05,0.18
Wins.above.replacement,0.62,0.53,0.07,0.18
ground.into.a.doubleplay,0.14,0.69,-0.13,-0.06
sacrifice.fly,0.17,0.59,-0.06,0.05
strike.outs,0.19,0.79,0.33,0.04
Games.played,0.21,0.91,-0.07,0.1
hit.infield,0.23,0.67,-0.29,-0.07
plate.appearances,0.29,0.94,-0.04,0.12
singles,0.34,0.86,-0.34,0.02
bat.hardHit,0.37,0.89,0.04,0.03
doubles,0.4,0.82,-0.08,0
hits,0.42,0.89,-0.15,0.02
runs.scored,0.43,0.85,0.03,0.16
runs.batted.in,0.44,0.82,0.17,0.06
bat.barrels,0.46,0.71,0.43,0.04
ball.sliders.ratio,0.55,0.13,-0.04,0.08
x.batting.average,0.63,0.38,-0.29,-0.12
on.balls.in.play,0.64,0.04,-0.36,-0.12
ball.fastball,0.65,0.22,0.22,0.22
x.slugging.perc,0.66,0.36,0.46,-0.08
ball.fastball.ratio,0.7,0.15,0.18,0.17
x.wOBA,0.72,0.34,0.28,0.21
Batting.wOBA,0.8,0.29,0.2,0.24
wRuns.AboveAvg,0.81,0.29,0.19,0.23
on.base.perc,0.82,0.18,-0.18,0.46
batting.average,0.85,0.25,-0.41,-0.12
slugging.perc,0.87,0.3,0.33,-0.11
wRuns.created.plus,0.92,0.25,0.14,0.19
OPS,0.93,0.28,0.18,0.09
wOBA,0.94,0.26,0.12,0.18
called.swing.strikes.perc,-0.25,-0.25,0.41,-0.08
hit.softspeed.perc,-0.23,-0.13,-0.12,0.02
sacrifice.hit,-0.22,-0.08,-0.25,0.05
Infieldfly.perc,-0.18,-0.06,0.1,0.01
GroundBall.perc,-0.17,-0.01,-0.46,-0.16
Zone.perc,-0.17,-0.15,-0.26,0.08
called.strike.perc,-0.11,-0.17,-0.22,0.5
ball.fastball.perc,-0.06,-0.03,-0.31,0.25
hit.bunt,-0.05,0.03,-0.19,0.04
Clutch,-0.05,-0.04,-0.18,-0.02
Fielding,-0.04,0.1,-0.05,-0.03
ball.splitters.velocity,-0.03,0.1,0.02,0.07
ball.curves.perc,-0.02,-0.02,0.09,0.01
hit.push.perc,-0.01,0.03,-0.4,-0.01
hit.pull.perc,0,-0.08,0.49,0.01
ball.sliders.perc,0,0.04,0.13,-0.38
ball.curves.velocity,0.01,0.14,0.07,-0.05
hit.bunt.perc,0.02,-0.03,-0.14,0.05
hit.CF.perc,0.02,0.09,-0.31,0
ball.cutters.velocity,0.03,0.04,0.01,0.18
ball.changeups.perc,0.04,-0.02,0.12,0.08
ultimate.base.running,0.05,0.04,-0.04,0.08
stolenbase.stealing.ratio,0.05,0.04,-0.17,-0.05
ball.cutters.perc,0.05,0.04,0.01,0.15
launch.angle,0.06,-0.03,0.49,0.17
ball.changeups.velocity,0.07,0.09,0.11,0.32
wGDP,0.09,-0.09,0.19,0.15
in.swing.perc,0.11,0.14,0.18,-0.5
caught.stealing,0.12,0.38,-0.19,0
running.speed.score,0.14,0.13,-0.24,-0.03
ball.splitters.perc,0.14,0,0.17,0.05
ball.sliders.velocity,0.15,0.23,0.05,-0.05
stolen.base,0.16,0.37,-0.24,0.02
hit.infield.perc,0.16,-0.01,-0.13,-0.13
ball.splitters,0.16,0.05,-0.01,0.03
triples,0.19,0.42,-0.15,0
ball.fastball.velocity,0.19,0.21,0.16,0.03
hit.by.pitch,0.21,0.39,-0.02,0.08
LineDrive.perc,0.25,0.01,-0.32,-0.02
ball.splitters.ratio,0.25,0.07,-0.03,0.01
ball.cutters,0.27,0.08,0.12,-0.02
ball.cutters.ratio,0.29,0.1,0.09,-0.04
bat.max.exit.velocity,0.32,0.42,0.45,-0.13
intentional.bases.on.balls,0.33,0.35,0.1,0.18
ball.curves.ratio,0.34,0.13,-0.09,0.16
ball.curves,0.35,0.2,-0.03,0.2
ball.changeups,0.38,0.2,0.03,0.17
ball.changeups.ratio,0.38,0.1,0,0.1
ball.sliders,0.5,0.1,0,0.09
